Country Name,GDP (in USD)
Afghanistan,18799444490
Albania,15585111614
Algeria,1.9346E+11
Angola,70897962732
Argentina,4.47755E+11
Armenia,13619290539
Australia,1.39272E+12
Austria,4.42984E+11
Azerbaijan,48174235294
"Bahamas, The",13277000000
Bahrain,40446808511
Bangladesh,3.51232E+11
Barbados,5788288000
Belarus,64410170653
Belgium,5.36726E+11
Belize,2388300000
Benin,14391686313
Bhutan,2735683570
Bolivia,40895322851
Bosnia and Herzegovina,20482608755
Botswana,16725908149
Brazil,1.87329E+12
Brunei Darussalam,13469235348
Bulgaria,68634004792
Burkina Faso,16032813503
Burundi,2576518880
Cabo Verde,2252177124
Cambodia,36685356408
Cameroon,39667757528
Canada,1.74373E+12
Central African Republic,2221301351
Chad,14905517743
Chile,2.78285E+11
China,1.45602E+13
Colombia,3.23032E+11
Comoros,1195019531
"Congo, Dem. Rep.",51775829877
"Congo, Rep.",13976637780
Costa Rica,64417670521
Cote d'Ivoire,60382894697
Croatia,61467582194
Cuba,1.03428E+11
Cyprus,26196667100
Czechia,2.56794E+11
Denmark,3.45401E+11
Djibouti,3088851450
Dominican Republic,89146130745
Ecuador,1.07596E+11
"Egypt, Arab Rep.",3.18679E+11
El Salvador,26881140000
Equatorial Guinea,11364133550
Estonia,31873748770
Eswatini,4616996145
Ethiopia,95912620248
Fiji,5444407198
Finland,2.67015E+11
France,2.72279E+12
Gabon,16874405465
"Gambia, The",1813609692
Georgia,17638337117
Germany,3.95721E+12
Ghana,68352629246
Greece,2.07306E+11
Guam,6355000000
Guatemala,77172317259
Guinea,13442861496
Guinea-Bissau,1588767976
Guyana,5173760192
Haiti,15016090930
Honduras,24882225742
"Hong Kong SAR, China",3.63075E+11
Hungary,1.64937E+11
Iceland,24681343649
India,2.83561E+12
Indonesia,1.1191E+12
"Iran, Islamic Rep.",3.33519E+11
Iraq,2.33636E+11
Ireland,4.07125E+11
Israel,4.00645E+11
Italy,2.01961E+12
Jamaica,15830766531
Japan,5.11799E+12
Jordan,44503006338
Kazakhstan,1.81667E+11
Kenya,1.00378E+11
"Korea, Rep.",1.65142E+12
Kuwait,1.40856E+11
Kyrgyz Republic,9371275264
Lao PDR,18740561513
Latvia,33099503951
Lebanon,51605959131
Lesotho,2390702296
Liberia,3319596500
Libya,69254496472
Lithuania,55122066226
Luxembourg,69872035114
"Macao SAR, China",55082293844
Madagascar,14104664679
Malawi,11051865580
Malaysia,3.65178E+11
Maldives,5726094799
Mali,20477421885
Malta,16337793531
Mauritania,7894764886
Mauritius,14436346980
Mexico,1.30411E+12
Moldova,11736797055
Mongolia,14206359018
Montenegro,5542054181
Morocco,1.2892E+11
Mozambique,15512759047
Myanmar,75065106228
Namibia,12541928303
Nepal,34186180699
Netherlands,9.28903E+11
New Caledonia,9475655325
New Zealand,2.13006E+11
Nicaragua,12699023614
Niger,12889555561
Nigeria,4.74517E+11
North Macedonia,12606338449
Norway,4.08743E+11
Oman,88060858257
Pakistan,3.20909E+11
Panama,69778991200
Papua New Guinea,24750626030
Paraguay,37925338329
Peru,2.28346E+11
Philippines,3.76823E+11
Poland,6.02684E+11
Portugal,2.40116E+11
Qatar,1.76371E+11
Romania,2.51677E+11
Russian Federation,1.69312E+12
Rwanda,10349300277
Samoa,912950466.1
Sao Tome and Principe,412976082.6
Saudi Arabia,8.8889E+11
Senegal,23403995992
Serbia,53864693665
Sierra Leone,6526183564
Singapore,3.76162E+11
Slovak Republic,1.05843E+11
Slovenia,53909922736
Solomon Islands,1619155017
Somalia,8655023960
South Africa,3.8933E+11
Spain,1.4035E+12
Sri Lanka,88998706297
St. Lucia,2095344444
St. Vincent and the Grenadines,910481481.5
Sudan,32338079165
Suriname,4016040575
Sweden,5.32169E+11
Switzerland,7.21369E+11
Syrian Arab Republic,22583045060
Tajikistan,8300813599
Tanzania,61026731926
Thailand,5.43977E+11
Timor-Leste,2032550389
Togo,6992700101
Tonga,494197854
Trinidad and Tobago,23588037787
Tunisia,41905642419
Turkiye,7.61006E+11
Turkmenistan,45232857143
Uganda,35353061008
Ukraine,1.53883E+11
United Arab Emirates,4.1799E+11
United Kingdom,2.85141E+12
United States,2.154E+13
Uruguay,62222313619
Uzbekistan,67293639798
Vanuatu,936526267.6
Viet Nam,3.34365E+11
Virgin Islands (U.S.),4121000000
West Bank and Gaza,17133500000
Zambia,23308667781
Zimbabwe,25715657177
